"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PG_003051_T.1",180.588004388694,1.00071019115028,0.191557570918718,47.4002048372369,1.25856326998827e-09,3.59227788456669e-08
"PG_003059_T.1",128.685505509431,0.785424890875772,0.241031385978676,29.5279897533525,6.1058309962367e-06,5.98286388331191e-05
"PG_003060_T.1",647.0895122355,2.6494118896444,0.727373829911169,25.9335238513526,3.26364248390333e-05,0.000258470487761396
"PG_003061_T.1",105.7831945207,-1.7184185701723,0.33917444473812,34.9939476209057,4.65866525617368e-07,6.3047892200385e-06
"PG_003063_T.1",12.9864727962105,-1.74368424845366,0.549387738014398,18.662639788714,0.000915408772582072,0.00456298975716065
"PG_003070_T.1",40.4436970293994,-1.43751010322362,0.460963886370995,17.3911335342486,0.00162232005685228,0.00738807215071052
"PG_003071_T.1",179.003683160629,1.00449535477349,0.173417137262765,46.063289368691,2.38928138014659e-09,6.31765662349489e-08
"PG_003072_T.1",104.327870954212,0.748228121679858,0.232027472108561,28.637837550022,9.25978072647561e-06,8.61812998925511e-05
"PG_003079_T.1",12.4378357471193,-3.16466719038621,0.900072990144386,18.8353752184886,0.000846684421939283,0.00427405384828851
"PG_003080_T.1",41.0308137732489,-2.28368310567891,0.771316360651713,12.3955907408816,0.0146396659276776,0.046194090245207
"PG_003081_T.1",25.9397950400362,-2.7601095085748,0.907206036615165,12.1736895681676,0.016105337084487,0.0499690169985103
"PG_003083_T.1",98.2290849067693,0.856640551883595,0.369036167277173,12.391019443756,0.0146685058879118,0.0462569195903702
"PG_003085_T.1",233.295673100482,1.58683651569571,0.228521843206328,74.5295984716372,2.50554819937674e-15,3.39768435743594e-13
"PG_003097_T.1",192.71857234205,0.629243392771563,0.175026802739817,20.5376879949872,0.000391000293191611,0.00220785827259874
"PG_003098_T.1",111.35978315308,-0.083520074394529,0.197918891021812,16.1091214765602,0.00287618027504583,0.0119680609693745
"PG_003101_T.1",119.24385451641,-0.618587676081092,0.267983675328309,12.9133029308086,0.0117072728734306,0.038525039754038
"PG_003105_T.1",963.473007080439,1.90406311454394,0.560861694762908,25.6884844958896,3.65666906336845e-05,0.000285350329544024
"PG_003107_T.1",116.678804568041,0.530251878515549,0.196537563077426,15.4186790617603,0.00390716367229628,0.0154792078562426
"PG_003108_T.1",13.9353685101211,0.530539641763287,0.44414106330797,23.4387175137186,0.00010346950644232,0.00070254400855246
"PG_003114_T.1",241.910780401231,0.255882409090712,0.137911646760067,14.9542635296899,0.00479702374007066,0.0184252421348226
